"Date","Actual_Cases","Auto_ARIMA"
2021-01-01,677589,675768
2021-01-02,685122,684249
2021-01-03,690900,692440
2021-01-04,696063,700529
2021-01-05,706154,708583
2021-01-06,713840,716624
2021-01-07,723630,724661
2021-01-08,736926,732697
2021-01-09,748852,740732
2021-01-10,757045,748767
2021-01-11,764499,756802
2021-01-12,773692,764837
2021-01-13,782288,772872
2021-01-14,791324,780907
2021-01-15,801130,788942
2021-01-16,809663,796977
2021-01-17,815995,805012
2021-01-18,820952,813047
2021-01-19,828444,821082
2021-01-20,836649,829116
2021-01-21,844799,837151
2021-01-22,853173,845186
2021-01-23,862158,853221
2021-01-24,866911,861256
2021-01-25,870828,869291
2021-01-26,879221,877326
2021-01-27,885605,885361
2021-01-28,892957,893396
2021-01-29,899515,901431
2021-01-30,905858,909466
2021-01-31,909445,917501
2021-02-01,912479,925535
2021-02-02,917440,933570
2021-02-03,922364,941605
2021-02-04,928070,949640
2021-02-05,932912,957675
2021-02-06,937402,965710
2021-02-07,940991,973745
2021-02-08,943695,981780
2021-02-09,947416,989815
2021-02-10,950906,997850
