Profile Nos,Profiles,Shiv Preference Rank,Screen 75 inch,Screen 85 inch,Resolution 4K = 1,Sony = 1,"Price 
(low = 0; high =1)"
17,"75, 4K, Sony, Lo Price",5,1,0,1,1,0
9,"85, 4K, Sony, Lo Price",17,0,1,1,1,0
4,"65, 4K, Sony, Lo Price",11,0,0,1,1,0
18,"75, 4K, Sharp, Lo Price",23,1,0,1,0,0
23,"85, 4K, Sharp, Lo Price",4,0,1,1,0,0
21,"65, 4K, Sharp, Lo Price",16,0,0,1,0,0
8,"75, 4K, Sony, Hi Price",10,1,0,1,1,1
3,"85, 4K, Sony, Hi Price",22,0,1,1,1,1
20,"65, 4K, Sony, Hi Price",6,0,0,1,1,1
22,"75, 4K, Sharp, Hi Price",18,1,0,1,0,1
14,"85, 4K, Sharp, Hi Price",12,0,1,1,0,1
15,"65, 4K, Sharp, Hi Price",24,0,0,1,0,1
24,"75, 1K, Sony, Lo Price",2,1,0,0,1,0
7,"85, 1K, Sony, Lo Price",14,0,1,0,1,0
2,"65, 1K, Sony, Lo Price",8,0,0,0,1,0
6,"75, 1K, Sharp, Lo Price",20,1,0,0,0,0
10,"85, 1K, Sharp, Lo Price",1,0,1,0,0,0
12,"65, 1K, Sharp, Lo Price",13,0,0,0,0,0
16,"75, 1K, Sony, Hi Price",7,1,0,0,1,1
13,"85, 1K, Sony, Hi Price",19,0,1,0,1,1
1,"65, 1K, Sony, Hi Price",3,0,0,0,1,1
11,"75, 1K, Sharp, Hi Price",15,1,0,0,0,1
19,"85, 1K, Sharp, Hi Price",9,0,1,0,0,1
5,"65, 1K, Sharp, Hi Price",21,0,0,0,0,1
