Profile Nos,Profiles,Preference Rank,Screen 75 inch,Screen 85 inch,Resolution 4K = 1,Sony = 1,"Price 
 (low = 0; high =1)",,,
19,"75, 1K, Sharp, Hi Price",4,1,0,0,0,1,,,
6,"65, 4K, Sony, Lo Price",16,0,0,1,1,0,,,
9,"65, 1K, Sharp, Lo Price",11,0,0,0,0,0,,,
12,"65, 4K, Sharp, Lo Price",12,0,0,1,0,0,,,
3,"65, 1K, Sony, Lo Price",10,0,0,0,1,0,,,
13,"75, 1K, Sony, Hi Price",6,1,0,0,1,1,,,
16,"75, 4K, Sony, Hi Price",17,1,0,1,1,1,,,
22,"75, 4K, Sharp, Hi Price",9,1,0,1,0,1,,,
20,"85, 1K, Sharp, Hi Price",5,0,1,0,0,1,,,
23,"85, 4K, Sharp, Hi Price",20,0,1,1,0,1,,,
7,"75, 1K, Sharp, Lo Price",14,1,0,0,0,0,,,
10,"75, 4K, Sharp, Lo Price",13,1,0,1,0,0,,,
14,"85, 1K, Sony, Hi Price",7,0,1,0,1,1,,,
17,"85, 4K, Sony, Hi Price",23,0,1,1,1,1,,,
1,"75, 1K, Sony, Lo Price",15,1,0,0,1,0,,,
21,"65, 1K, Sharp, Hi Price",1,0,0,0,0,1,,,
24,"65, 4K, Sharp, Hi Price",3,0,0,1,0,1,,,
15,"65, 1K, Sony, Hi Price",2,0,0,0,1,1,,,
18,"65, 4K, Sony, Hi Price",8,0,0,1,1,1,,,
4,"75, 4K, Sony, Lo Price",18,1,0,1,1,0,,,
8,"85, 1K, Sharp, Lo Price",21,0,1,0,0,0,,,
11,"85, 4K, Sharp, Lo Price",22,0,1,1,0,0,,,
5,"85, 4K, Sony, Lo Price",24,0,1,1,1,0,,,
2,"85, 1K, Sony, Lo Price",19,0,1,0,1,0,,,
