Profile Nos,Profiles,Preference Rank,Screen 75 inch,Screen 85 inch,Resolution 4K = 1,Sony = 1,"Price 
 (low = 0; high =1)"
4,"75, 4K, Sony, Lo Price",24,1,0,1,1,0
5,"85, 4K, Sony, Lo Price",23,0,1,1,1,0
6,"65, 4K, Sony, Lo Price",22,0,0,1,1,0
10,"75, 4K, Sharp, Lo Price",21,1,0,1,0,0
11,"85, 4K, Sharp, Lo Price",20,0,1,1,0,0
12,"65, 4K, Sharp, Lo Price",19,0,0,1,0,0
16,"75, 4K, Sony, Hi Price",18,1,0,1,1,1
17,"85, 4K, Sony, Hi Price",17,0,1,1,1,1
18,"65, 4K, Sony, Hi Price",16,0,0,1,1,1
22,"75, 4K, Sharp, Hi Price",15,1,0,1,0,1
23,"85, 4K, Sharp, Hi Price",14,0,1,1,0,1
24,"65, 4K, Sharp, Hi Price",13,0,0,1,0,1
1,"75, 1K, Sony, Lo Price",12,1,0,0,1,0
2,"85, 1K, Sony, Lo Price",11,0,1,0,1,0
3,"65, 1K, Sony, Lo Price",10,0,0,0,1,0
7,"75, 1K, Sharp, Lo Price",9,1,0,0,0,0
8,"85, 1K, Sharp, Lo Price",8,0,1,0,0,0
9,"65, 1K, Sharp, Lo Price",7,0,0,0,0,0
13,"75, 1K, Sony, Hi Price",6,1,0,0,1,1
14,"85, 1K, Sony, Hi Price",5,0,1,0,1,1
15,"65, 1K, Sony, Hi Price",4,0,0,0,1,1
19,"75, 1K, Sharp, Hi Price",3,1,0,0,0,1
20,"85, 1K, Sharp, Hi Price",2,0,1,0,0,1
21,"65, 1K, Sharp, Hi Price",1,0,0,0,0,1
